,unit,ts,qty,geography_level,geography,product_level,product
0,502d57431ca99938c1d4e606c4ac71fa,2021-03-01,184,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,1807ffa2c1c84035f4346c3364104dd1
1,9c6db59b5a87c48a0bd8ad3e9fd7edae,2021-03-01,54,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
2,3df22f447370785624a71797bf2b70f1,2021-03-01,8,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
3,21c8806fefb4428a17a83b4f67b84386,2021-03-01,2,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,93a97f63f0a573483d49c58dc02c1341
4,d8f5a4ee2c1379f5e78113d518ecfc47,2021-03-01,1,geography_level_3,39a8345be72b8ff2f30e29dc836d7e12,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
5,6531526e9fea58faf051ca38af101a70,2021-03-01,6,geography_level_3,39a8345be72b8ff2f30e29dc836d7e12,product_level_2,db9e166331f89037c1b3590adfaa18d4
6,ec5d322ff06d7c9ddf486bad847383a1,2021-03-01,2,geography_level_3,ac17865ba94b6a06b53466188fc4e446,product_level_2,db9e166331f89037c1b3590adfaa18d4
7,68e773660014a36c2fd6ad15b4cd3f73,2021-03-01,20,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,45fe7a01980958e559fa0473c20c8c58
8,c86e0698e19f7d634b1a0a63fc32f7c2,2021-03-01,2,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,579cf4cbf3d63c78deffc623c0de643f
9,6604055dd29c395870d7710a8fa647a2,2021-03-01,1,geography_level_3,fbf4f8e80be389076fedf861004c733f,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
10,516ded8d3270a7c99a84812e7b8a150e,2021-03-01,70,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,45fe7a01980958e559fa0473c20c8c58
11,3060d32b2347aa5df8cf51f65e926374,2021-03-01,242,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
12,5f0bd7576fda1b008526e5696b7a9115,2021-03-01,24,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,1807ffa2c1c84035f4346c3364104dd1
13,2c4cd7a90b66b3c1fbdfdae57489671a,2021-03-01,1,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
14,440fd61d97d44e257d2706967d70ee5d,2021-03-01,1,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,db9e166331f89037c1b3590adfaa18d4
15,a48074a895f62dc7a6782828a613cd8b,2021-03-01,22,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,45fe7a01980958e559fa0473c20c8c58
16,4db9c0b0046c272f784e33b284a54581,2021-03-01,4,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,579cf4cbf3d63c78deffc623c0de643f
17,6076c4bba01f24298a015a720a4c2e8e,2021-03-01,42,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
