unit,ts,qty
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-02,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-03,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-04,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-05,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-06,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-07,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-08,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-09,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-10,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-11,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-12,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-13,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-14,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-15,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-16,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-17,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-18,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-19,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-20,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-21,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-22,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-23,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-24,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-25,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-26,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-27,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-28,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-29,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-30,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-03-31,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-01,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-02,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-03,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-04,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-05,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-06,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-07,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-08,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-09,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-10,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-11,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-12,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-13,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-14,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-15,0.47894444528642743
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-16,0.23622090581815722
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-17,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-18,0.018924524186294086
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-19,0.4842533958150536
1305184b1a7634e62b1ea3dc7c5fa81d,2021-04-20,0.4842533958150536
